"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"1977","GUFSIN sees no reason for the transfer to the hospital yuri Serebrennikova news yuriyserebrennikov GUFSIN",""
"1978","Bus route number naostanovok extended novostimarshrut",""
"1979","eksgubernatorov Chelyabinsk region deprived golden parachute compensation policy news",""
"1980","Mikhail Yurevich registered to the State Duma deputy news mihailyurevich",""
"1981","of Chelyabinsk fined for registration fee kvartiremigrantov news migrants apartment",""
"1982","Canada released a single meteorite meteorposvyaschenny Chelyabinsk meteorite news canada",""
"1983","Teen came to pass fluorography with a hand grenade grenade news fluorography",""
"1984","Chelyabinsk first case of death from swine flu news flu death",""
"1985","HIF changed in the regional head of news svetlanaustyantseva HIF",""
"1986","Ruslan Gattarov prematurely resigned board member federations news ruslangattarov Senator",""
"1987","Chelyabinsk region in the social norms of electricity consumption will introduce pa news norm",""
"1988","Chelyabinsk Region Government will spend on PR eye",""
"1989","BPC all interested firms successful tenders for road construction news tender competition",""
"1990","way to block the Churilovo week because of public works road news Churilovo",""
"1991","Korkino resident died twice tan themselves unquenched cigarette fire news Korkino",""
"1992","Court authorized the Chelyabinsk region eliminated because of budget savings news borisdubrovsky authorized",""
"1993","renault and sevens clash provoked spogibshimi bespravnik on summer tires news crash",""
"1994","pedestrian who was sitting on the road died from a collision Volga news Kartali crash",""
"1995","chelyabinets beaten and stifled year old mother goes on trial news violence mother",""
"1996","weather",""
"1997","for large families vydelyatzemelnyh sites in the Chelyabinsk region news IZHS many children",""
"1998","funds for the treatment of a cancer patient guy will gather at a charity concert news Philanthropist",""
"1999","chelyabinets marked the anniversary of a double murder new news stabbing murder death",""
"2000","players from the Chelyabinsk region will play today in the quarterfinals of the Olympiad news sochi-hockey",""
"2001","Dubai sued upon falling out of the plane of the Chelyabinsk stewardess stewardess news d",""
"2002","old Chelyabinsk",""
"2003","Chelyabinsk crossover encountered semerkoypogiblipostradali news death crash",""
"2004","Vladimir Pavlov asked to leave the presidency and p n",""
"2005","Russian team with the Chelyabinsk hokkeistki zanyalamesto at the Olympics hockey news sochi",""
"2006","South Urals players will play in the quarterfinals Olympics hockey news sochi",""
"2007","Chelyabinsk region will solve the problem of staff shortage news business borisdubrovsky",""
"2008","Deputy Chief of Staff Dmitry Chelyabinsk Gradoboev resign resignation news Gradostroitel",""
"2009","the court ordered the property to dismantle the fence on the shore TURGOJAK news Turgoyak hotel",""
"2010","Miassky boxer to fight for the title of world champion under version ibf ibf boxing news",""
"2011","third person involved in the murder case of the owner qashqai denies any involvement in the crime news",""
"2012","Ural Airlines makes no claims to the fallen from the plane stewardess news bortopro",""
"2013","bloggers have published photos of the Olympiad year-old news blog sochi",""
"2014","Chelyabinsk region declared a storm warning because of snowfall snowfall weather news",""
"2015","South Urals not get another day of rest poslefevralya news holiday in February",""
"2016","on the guilty party is trying to hide from the shuttle on someone else's car brought a criminal case d news",""
"2017","DPS officers in pursuit of street robbers arrested news chase robbery",""
"2018","under the governor of the Chelyabinsk region will be created inter-religious council news borisdubrovsky rel",""
"2019","monument to the heroes of the First World will be built at the expense of memory chelyabintsev news pervayamirovaya",""
"2020","taxi did not miss at the crossroads renaultpassazhira suffered news jitney and renault",""
"2021","Social Security employee management sentenced for taking bribes from realtor news Social Security bribe",""
"2022","sms with farewell motorist rescued from gas poisoning in the garage farewell news sms",""
"2023","offer free local businessmen Types",""
"2024","Valerie proydetfevralya concert in the Opera and Ballet Theatre named after Glinka",""
"2025","international festival of classical music zavershitsyafevralya",""
"2026","medals from Chelyabinsk meteorite were not given because of the fear reaction fans news Olympiad honey",""
"2027","civilian doctors will report on the state of health yuri Serebrennikova news yuriyserebrenni",""
"2028","Miassa resident accidentally shot himself in the head with a pistol gun ricochet news",""
"2029","Washington awaits evgeniya kusnetzowii late season NHL news immigration evgeniykuznetsov",""
"2030","Boris Dubrovsky congratulated the Air Academy cadets with the Fatherland Defender's Day news bo",""
"2031","old Chelyabinsk",""
"2032","Chelyabinsk poluchililet strogacha for two for drug trafficking in drugs online news",""
"2033","players from the Chelyabinsk region today will play in the playoffs Olympiad Olympiad Russian news",""
"2034","young mother organized stash prostitutes in Varna news Varna hangout",""
"2035","old pensioner died in a fire in the area of ​​news Verhneuralsk fire pensioner",""
"2036","Chelyabinsk authorities will inspect abandoned municipal facilities news objects for sale",""
"2037","Summer chelyabinke urgently needed funds for the treatment of cancer of the fourth degree cancer treatment news",""
"2038","metallurgist in a friendly match conceded dual team Davos locomotive Metal News",""
"2039","reconstruction of the only road to Churilovo complete reconstruction of the road in the summer news",""
"2040","at the headquarters of youth policy are Obysov",""
"2041","Boris Dubrovsky took part in the launch of the first block of South Ural GRES news yuzhnouralskayagre",""
"2042","Davydov for cleaning roads in Chelyabinsk at once allocated less money than you need cleaning st news",""
"2043","in the Leninsky district of Chelyabinsk may have its own park news leninskiyrayon Park",""
"2044","aviadeboshir beat cop because of which it was removed from a flight to St Petersburg airport news",""
"2045","probezhalmetrov old athlete on the track in Chelyabinsk Russia lyzhnyarossii sports news",""
"2046","Chelyabinsk stewardess hospitalized after falling out of an airplane stewardess plane news",""
"2047","after an accident at a dam in Chelyabinsk is in a coma coma news handball locomotive crash",""
"2048","sdetmi man lost in the woods near Chebarkul skiing ski Forest news",""
"2049","the South Urals earned new rooms police ambulance and fire news ekstrennyynomer n",""
"2050","in Chelyabinsk by the builder",""
"2051"," a stone fell from the excavator bucket excavator construction news",""
"2052","devushkeinvalidu dentists zaplatyattysyach for the removal of healthy tooth dentistry court news",""
"2053","old Chelyabinsk",""
"2054","Chelyabinsk residents set fire to his wife during a drunken quarrel news arson family",""
"2055","unknown prankster mined soft toy car in Chelyabinsk news mining cordon",""
"2056","Tajikistan detained two suspects in the murder of elderly couple with an ax news ubiys",""
"2057","Chelyabinsk looking teen disappeared from a bus stop teenager news search",""
"2058","Russian team with the Chelyabinsk hockey players won a major victory at the Olympics news sochi x",""
"2059","Olga Fatkulina skater became the ninth at the Olympics nametrah news sochi sochi",""
"2060","Russian team won syuzhnouraltsami comprising the Slovaks at the Olympics news sochi-hockey",""
"2061","kindergarten peredalitysyach rubles collected at the match foxes steel steel hockey news",""
"2062","set on the banks of Chebarkul stele in honor of meteorite news meteorite CHebarkul",""
"2063","works of life otna",""
"2064","Dubrovsky instructed to develop a program for the collection and disposal of garbage trash news program",""
"2065","spouses Filimonov founding financial pyramid escort in Chelyabinsk news Filimonov fi",""
"2066","old Chelyabinsk",""
"2067","srazuyuzhnouralskih athletes at the Olympics today are the news sochi Russia",""
"2068","Chelyabinsk taxi driver injured passenger of travmatiki not pay the fare taxi attacking news",""
"2069","snowmobile driver died after hitting a man in the upper Ufalei news snowmobile death",""
"2070","Russian team with chelyabinkami comprising retired from the fight",""
"2071","South Urals hockey team did not help Russia beat the United States usa news Russian hockey",""
"2072","kia with three children got into a serious accident at the dam has affected news crash dam",""
"2073","the first gold medal won by a meteorite with the Chelyabinsk Austrian skier news Olympiads",""
"2074","universities in Chelyabinsk changed lists entrance exams study exams news",""
"2075","sportnedna",""
"2076","Boris Dubrovsky Congratulates Veterans on Anniversary of withdrawing troops from Afghanistan news borisdub",""
"2077","nhna",""
"2078","today at the Olympics athletes vystupyatyuzhnouralskih hockey news Contest",""
"2079","in Sosnovsky district niva and corolla arranged frontal stolknoveniepogibli news niva corolla d",""
"2080","under Miass in mashineperevertyshe year-old man died accident death news Changeling",""
"2081","old Chelyabinsk",""
"2082","metallurgist in a test match beat locomotive locomotive Metal News",""
"2083","pensioner with her husband murdered with an ax was a healer news pensioner murder",""
